m	K0	Mm	KmN	sigmaK0	kappa	Oldkappa	CFinv	FinvB	Fzh_Z	etaZ	etaD	Finv_BZ	Finv_BZD	b_r0	error_D	result	minimal_period	sec
55	56.349268167261848	23.12843708035172	0.0035429781800939802	1.0062369315582476	1.0097799097383418	1312.4051491930948	0.0047599355426076566	0.27713712295716426	9.3271614180041985e-05	0.00017672384337244786	0.010053084296095121	23.005190369672157	1297.5295983386459	775.88496615221266	-	fail	-	230
60	56.349267356076368	23.128440512666334	0.0028121638368754426	0.92375848124715366	0.9265706450840292	1204.8311006235461	0.003974160981846637	0.2514166260491666	1.9376570813328817e-05	4.4605377059565423e-06	0.0002707613466262969	23.142180461401097	1305.2500864322315	20.97025294765189	-	fail	-	233
70	56.349266946804413	23.128446717450903	0.0018917365186390545	0.79365164713809045	0.79554338365672961	1035.1368418665102	0.0028953405100795231	0.2122682897743225	1.2761120958094121e-06	8.9869453424973196e-08	6.3408268155686437e-06	23.131461688945067	1304.6459868892189	0.4908324032281024	1.2453319605900366e-05	success	2pi	246
80	56.349266921273376	23.128453457143373	0.0013581563953210042	0.69566996199102949	0.6970281183863506	907.34243340850992	0.0022051613367148082	0.1838000505778599	7.7501469320006435e-08	3.2136570014392576e-09	2.5860865386426975e-07	23.129793611078413	1304.5519765337233	0.020016974400013023	2.6389095230087138e-07	success	2pi	239
90	56.34926691985892	23.12845950793728	0.0010224648920163034	0.61922271340504321	0.62024517829705961	807.63468478157336	0.0017361591027481073	0.16213199634002038	3.5200336113780408e-09	1.0714273070061603e-10	9.5580484792473165e-09	23.129201680857151	1304.5186164150603	0.00073979855064826251	9.565124744670195e-09	success	2pi	242
100	56.349266919810255	23.128464456417892	0.00079793410375395523	0.55791353385950749	0.55871146796326155	727.67101017434914	0.0014026751371603146	0.1450759544679286	2.0628710829387665e-10	2.0030832556669185e-11	1.3351601040925053e-09	23.128926049367643	1304.5030823360133	0.00010334094328859716	1.3352980950572201e-09	success	2pi	249
110	56.34926691980904	23.128470647090194	0.00064045331229693574	0.50765105333161309	0.5082915066439101	662.11524040068196	0.0011570017556695974	0.13129661874031121	1.2992071173575778e-11	2.0949012615113965e-11	1.1936374224039591e-09	23.128779842796459	1304.4948424056586	9.238655172469499e-05	1.1937477086383895e-09	success	2pi	256
200	56.349266919812387	23.128525683355854	0.00017320833910011415	0.28034461154135521	0.28051781988045533	365.64659919318473	0.00034854914192529978	0.070986204298990247	8.6048745629768249e-12	3.9466572440628275e-11	2.232866118376707e-09	23.128560085039613	1304.4824572674314	0.00017282035465094489	2.2332520697914337e-09	success	2pi	273
