m	K0	kk_inf	kk_one	Mn	M	Fzh_Z	eta	b_r0	result	sec
55	56.349268167261848	1.7130270587747652	-	-	-	-	-	-	fail(kk>=1)	251
60	56.349267356076368	1.5739962091418241	-	-	-	-	-	-	fail(kk>=1)	244
70	56.349266946804413	1.3502032477995572	-	-	-	-	-	-	fail(kk>=1)	247
80	56.349266921273376	1.1777367391777823	-	-	-	-	-	-	fail(kk>=1)	243
90	56.34926691985892	1.0427924684423271	-	-	-	-	-	-	fail(kk>=1)	244
100	56.349266919810255	0.9289888248100231	0.91721276654032935	856.85539280419994	48291.77555973718	2.0628710829387665e-10	9.9619707345950903e-06	28.543910985442694	fail	239
110	56.34926691980904	0.8333843520037888	0.8222184392470604	381.72562845605075	21514.346043195703	1.2992071173575778e-11	2.79515915046137e-07	0.35680315475162	success	240
200	56.349266919812387	0.47554361144801261	0.46868696986089282	124.45795074660866	7015.2183865784501	8.6048745629768249e-12	6.0365074248396239e-08	0.025125858288029931	success	284
